,Country,Country_Code,City,Airport_Name,Airport_Code
248,Greece,GR,Karpathos,Karpathos Island National Airport,AOK
249,Greece,GR,Kasos,Kasos Airport,KSJ
250,Greece,GR,Kastelorizo,Kastelorizo Airport,KZS
251,Greece,GR,Kastoria,Kastoria National Airport,KSO
252,Greece,GR,Kavala,Kavala International Airport,KVA
253,Greece,GR,Kefallinia,Kefallinia Island International Airport,EFL
254,Greece,GR,Kerkyra,Corfu (Kerkyra) International Airport,CFU
255,Greece,GR,Kithira,Kythira Island National Airport,KIT
256,Greece,GR,Kos,Kos Island International Airport,KGS
257,Greece,GR,Kozani,Kozani National Airport,KZI
258,Greece,GR,Leros,Leros Island National Airport,LRS
259,Greece,GR,Limnos,Limnos Airport,LXS
260,Greece,GR,Mikonos,Mykonos Airport,JMK
261,Greece,GR,Milos,Milos Airport,MLO
262,Greece,GR,Mytilene,Mytilini International Airport,MJT
263,Greece,GR,Naxos,Naxos Island National Airport,JNX
264,Greece,GR,Paros,Paros National Airport,PAS
265,Greece,GR,Preveza/Lefkas,Aktion Airport,PVK
266,Greece,GR,Rhodes,Rhodes International Airport,RHO
267,Greece,GR,Samos,Samos International Airport,SMI
268,Greece,GR,Santorini/Thira,Santorini (Thira) National Airport,JTR
269,Greece,GR,Sitia,Sitia Airport,JSH
270,Greece,GR,Skiathos,Skiathos Airport,JSI
271,Greece,GR,Skiros,Skyros Airport,SKU
272,Greece,GR,Syros Island,Syros Island National Airport,JSY
273,Greece,GR,Thessaloniki,Thessaloniki International Airport,SKG
274,Greece,GR,Volos,Nea Anchialos National Airport,VOL
275,Greece,GR,Zakynthos Island,Zakynthos International Airport,ZTH
276,Hungary,HU,Budapest,Budapest Ferenc Liszt International Airport,BUD
277,Iceland,IS,Akureyri,Akureyri Airport,AEY
278,Iceland,IS,EgilsstaÃ°ir,EgilsstaÃ°ir Airport,EGS
279,Iceland,IS,Grimsey,Grimsey Airport,GRY
280,Iceland,IS,Hofn,Hornafjordur Airport,HFN
281,Iceland,IS,Husavik,Husavik Airport,HZK
282,Iceland,IS,Isafjordur,Isafjordur Airport,IFJ
283,Iceland,IS,Keflavik,Keflavik International Airport,KEF
284,Iceland,IS,Reykjavik,ReykjavÃ­k Airport,RKV
285,Iceland,IS,Vestmannaeyjar,Vestmannaeyjar Airport,VEY
286,Ireland,IE,Cork,Cork Airport,ORK
287,Ireland,IE,Dublin,Dublin Airport,DUB
288,Ireland,IE,Killarney,Kerry Airport,KIR
289,Ireland,IE,Knock,Ireland West Airport Knock,NOC
290,Ireland,IE,Shannon,Shannon Airport,SNN
291,Ireland,IE,Waterford,Waterford Airport,WAT
292,Italy,IT,Albenga,Albenga Airport,ALL
293,Italy,IT,Alghero,Alghero Airport,AHO
294,Italy,IT,Ancona,Ancona airport,AOI
295,Italy,IT,Aosta,Aosta Valley Airport,AOT
296,Italy,IT,Bari,Aeroporto di Bari,BRI
297,Italy,IT,Bologna,Aeroporto G. Marconi di Bologna S.p.A.,BLQ
298,Italy,IT,Bolzano,Bolzano Airport,BZO
299,Italy,IT,Brindisi,Aeroporto di Brindisi,BDS
300,Italy,IT,Cagliari,Aeroporto Cagliari Elmas,CAG
301,Italy,IT,Catania,Catania Fontanarossa Airport,CTA
302,Italy,IT,Comiso,Comiso Airport,CIY
303,Italy,IT,Crotone,Crotone Airport,CRV
304,Italy,IT,Cuneo,Cuneo Levaldigi Airport,CUF
305,Italy,IT,Elba,Marina di Campo Airport,EBA
306,Italy,IT,Florence,Aeroporto di Firenze,FLR
307,Italy,IT,Foggia,"Aeroporto di Foggia ""Gino Lisa""",FOG
308,Italy,IT,Forli,Forli Airport,FRL
309,Italy,IT,Genoa,Genoa Cristoforo Colombo Airport,GOA
310,Italy,IT,Grosseto,Grosseto Airport,GRS
311,Italy,IT,Lamezia Terme,Lamezia Terme Airport,SUF
312,Italy,IT,Lampedusa,Lampedusa Airport,LMP
313,Italy,IT,Milan,Milano Orio al Serio International Airport,BGY
314,Italy,IT,Milan,Milano Linate,LIN
315,Italy,IT,Milan,Milano Malpensa,MXP
316,Italy,IT,Montichiari,Brescia Airport,VBS
317,Italy,IT,Naples,Aeroporto Internazionale di Napoli,NAP
318,Italy,IT,Olbia,Aeroporto Olbia Costa Smeralda,OLB
319,Italy,IT,Palermo,Falcone e Borsellino Palermo Airport,PMO
320,Italy,IT,Pantelleria,Pantelleria Airport,PNL
321,Italy,IT,Parma,Parma International Airport,PMF
322,Italy,IT,Perugia,Perugia Airport,PEG
323,Italy,IT,Pescara,Abruzzo Airport,PSR
324,Italy,IT,Pisa,Pisa International Airport,PSA
325,Italy,IT,Reggio,Reggio Calabria Airport,REG
326,Italy,IT,Rimini,Rimini Federico Fellini Airport,RMI
327,Italy,IT,Rome,Aeroporto di Roma-Ciampino,CIA
328,Italy,IT,Rome,Aeroporto di Roma-Fiumicino,FCO
329,Italy,IT,Salerno,Salerno Costa d'Amalfi Airport,QSR
330,Italy,IT,Taranto,Aeroporto di Grottaglie,TAR
331,Italy,IT,Trapani,Trapani Birgi Airport,TPS
332,Italy,IT,Treviso,Treviso Airport,TSF
333,Italy,IT,Trieste,Aeroporto di Trieste,TRS
334,Italy,IT,Turin,Turin Airport,TRN
335,Italy,IT,Venice,Aeroporto di Venezia Marco Polo,VCE
336,Italy,IT,Verona,Verona Airport,VRN
337,Latvia,LV,Riga,Riga International Airport,RIX
338,Lithuania,LT,Kaunas,Kaunas Airport,KUN
339,Lithuania,LT,Palanga,Palanga Airport,PLQ
340,Lithuania,LT,Siauliai,Siauliai International Airport,SQQ
341,Lithuania,LT,Vilnius,Vilnius International Airport,VNO
342,Luxembourg,LU,Luxembourg,Luxembourg-Findel International Airport,LUX
343,Malta,MT,Malta,Malta International Airport,MLA
344,"Moldova, Republic of",MD,Chisinau,Chisinau Airport,KIV
345,Monaco,MC,Monaco,HÃ©liport de Monaco-Fontvielle,MCM
346,Montenegro,ME,Podgorica,Podgorica Airport,TGD
347,Montenegro,ME,Tivat,Tivat Airport,TIV
348,Netherlands,NL,Amsterdam,Amsterdam Airport Schiphol,AMS
349,Netherlands,NL,Eindhoven,Eindhoven Airport,EIN
350,Netherlands,NL,Groningen,Groningen Airport Eelde,GRQ
351,Netherlands,NL,Maastricht,Maastricht Aachen Airport,MST
352,Netherlands,NL,Rotterdam,Rotterdam The Hague Airport,RTM
353,Norway,NO,Aalesund,Aalesund Airport,AES
354,Norway,NO,Alta,Alta Airport,ALF
355,Norway,NO,Andoya,"Andoya, Andenes Airport",ANX
356,Norway,NO,Bardufoss,Bardufoss Airport,BDU
357,Norway,NO,Batsfjord,Batsfjord Airport,BJF
358,Norway,NO,Bergen,Bergen Airport,BGO
359,Norway,NO,Berlevag,Berlevag Airport,BVG
360,Norway,NO,Bodo,Bodo Airport,BOO
361,Norway,NO,Bronnoysund,Bronnoysund Airport,BNN
362,Norway,NO,Fagernes,Valdres Airport,VDB
363,Norway,NO,Floro,Floro Airport,FRO
364,Norway,NO,Forde,"Forde, Bringeland Airport",FDE
365,Norway,NO,Hammerfest,Hammerfest Airport,HFT
366,Norway,NO,Harstad,Evenes Airport,EVE
367,Norway,NO,Hasvik,Hasvik Airport,HAA
368,Norway,NO,Haugesund,Haugesund Airport,HAU
369,Norway,NO,Honningsvag,Honningsvag Airport,HVG
370,Norway,NO,Kirkenes,Kirkenes Airport,KKN
371,Norway,NO,Kristiansand,Kristiansand Airport,KRS
372,Norway,NO,Kristiansund,Kristiansund Airport,KSU
373,Norway,NO,Lakselv,Lakselv Airport,LKL
374,Norway,NO,Leknes,Leknes Airport,LKN
375,Norway,NO,Longyearbyen,Svalbard Airport,LYR
376,Norway,NO,Mehamn,Mehamn Airport,MEH
377,Norway,NO,Mo i Rana,Mo i Rana Airport,MQN
378,Norway,NO,Molde,Molde Airport,MOL
379,Norway,NO,Mosjoen,Mosjoen Airport,MJF
380,Norway,NO,Moss,Moss/Rygge Airport,RYG
381,Norway,NO,Namsos,Namsos Airport,OSY
382,Norway,NO,Narvik,Narvik Framnes Airport,NVK
383,Norway,NO,Notodden,Notodden Airport,NTB
384,Norway,NO,Orland,Orlandet Airport,OLA
385,Norway,NO,Orsta,Orsta-Volda Airport,HOV
386,Norway,NO,Oslo,Oslo-Garnemoen Airport,OSL
387,Norway,NO,Roeros,Roeros Airport,RRS
388,Norway,NO,Rorvik,Rorvik Airport,RVK
389,Norway,NO,Rost,Rost Airport,RET
390,Norway,NO,Sandane,Sandane Airport,SDN
391,Norway,NO,Sandefjord,Sandefjord Torp Airport,TRF
392,Norway,NO,Sandnessjoen,SandnessjÃ¸en Airport,SSJ
393,Norway,NO,Skien,Skien Airport,SKE
394,Norway,NO,Sogndal,Sogndal Haukasen Airport,SOG
395,Norway,NO,Sorkjosen,Sorkjosen Airport,SOJ
396,Norway,NO,Stavanger,Stavanger Airport,SVG
397,Norway,NO,Stokmarknes,Stokmarknes Airport,SKN
398,Norway,NO,Stord,Stord Airport,SRP
399,Norway,NO,Svolvaer,Svolvaer Airport,SVJ
400,Norway,NO,Tromsoe,Tromsoe Airport,TOS
401,Norway,NO,Trondheim,Trondheim Airport,TRD
402,Norway,NO,Vadso,Vadsoe Airport,VDS
403,Norway,NO,Vaeroy,Vaeroy Heliport,VRY
404,Norway,NO,Vardo,Vardoe Airport,VAW
405,Poland,PL,Babimost,Zielona GÃ³ra â Babimost,IEG
406,Poland,PL,Bydgoszcz,Bydgoszcz Airport,BZG
407,Poland,PL,Gdansk,Gdansk Rebiechowo Airport,GDN
408,Poland,PL,Katowice,Katowice Intl Airport - GTL S.A.,KTW
409,Poland,PL,Krakow,The John Paul II International Airport Krakow - Balice,KRK
410,Poland,PL,Lodz,Lodz Wladyslaw Reymonta Airport,LCJ
411,Poland,PL,Lublin,Lublin Airport,LUZ
412,Poland,PL,Poznan,PoznaÅ-Åawica Airport,POZ
413,Poland,PL,Radom,Radom Airport,RDO
414,Poland,PL,RzeszÃ³w,RzeszÃ³w - Jasionka Airport,RZE
415,Poland,PL,Szczecin,Solidarity Szczecin-Goleniow Airport,SZZ
416,Poland,PL,Szymany,Olsztyn-Mazury Airport,SZY
417,Poland,PL,Warsaw,Warsaw Frederic Chopin Airport,WAW
418,Poland,PL,Warsaw,Warsaw-Modlin Mazovia Airport,WMI
