,Country,Country_Code,City,Airport_Name,Airport_Code
0,Albania,AL,Tirana,Tirana International Airport Nene Tereza,TIA
1,Armenia,AM,Gyumri,Shirak Airport,LWN
2,Armenia,AM,Yerevan,Zvartnots International Airport,EVN
3,Austria,AT,Graz,Flughafen Graz,GRZ
4,Austria,AT,Innsbruck,Innsbruck Airport,INN
5,Austria,AT,Klagenfurt,Klagenfurt Airport,KLU
6,Austria,AT,Linz,Flughafen Linz,LNZ
7,Austria,AT,Salzburg,Flughafen Salzburg W.A.Mozart,SZG
8,Austria,AT,Vienna,Vienna International Airport,VIE
9,Azerbaijan,AZ,Baku,Heydar Aliyev International Airport,GYD
10,Azerbaijan,AZ,Ganja,Ganja International Airport,KVD
11,Azerbaijan,AZ,Lankaran,Lankaran International Airport,LLK
12,Azerbaijan,AZ,Qabala,Qabala International Airport,GBB
13,Azerbaijan,AZ,Zaqatala,Zaqatala Airport,ZTU
14,Belarus,BY,Minsk,Minsk National Airport,MSQ
15,Belgium,BE,Antwerp,Antwerp Airport,ANR
16,Belgium,BE,Brussels,Brussels Airport,BRU
17,Belgium,BE,Charleroi,Brussels South-Charleroi Airport,CRL
18,Belgium,BE,Liege,LiÃ¨ge Airport,LGG
19,Belgium,BE,Ostend,Ostend-Bruges International Airport,OST
20,Bosnia and Herzegovina,BA,Banja Luka,Banja Luka Airport,BNX
21,Bosnia and Herzegovina,BA,Mostar,Aerodrom Mostar d.o.o.,OMO
22,Bosnia and Herzegovina,BA,Sarajevo,Sarajevo International Airport,SJJ
23,Bosnia and Herzegovina,BA,Tuzla,Tuzla Airport,TZL
24,Bulgaria,BG,Bourgas,Bourgas Airport,BOJ
25,Bulgaria,BG,Gorna Oryahovitsa,Gorna Oryahovitsa Airport,GOZ
26,Bulgaria,BG,Plovdiv,Plovdiv Airport,PDV
27,Bulgaria,BG,Sofia,Sofia Airport,SOF
28,Bulgaria,BG,Varna,Varna International Airport,VAR
29,Croatia,HR,Dubrovnik,Dubrovnik Airport,DBV
30,Croatia,HR,Osijek,Osijek Airport,OSI
31,Croatia,HR,Pula,Pula Airport,PUY
32,Croatia,HR,Rijeka,Rijeka Airport,RJK
33,Croatia,HR,Split,Split Airport,SPU
34,Croatia,HR,Zadar,Zadar Airport,ZAD
35,Croatia,HR,Zagreb,Zagreb Airport,ZAG
36,Cyprus,CY,Larnaca,Larnaka International Airport,LCA
37,Cyprus,CY,Paphos,Pafos International Airport,PFO
38,Czech Republic,CZ,Brno,Brno Turany Airport,BRQ
39,Czech Republic,CZ,Karlovy Vary,Karlovy Vary Airport,KLV
40,Czech Republic,CZ,Ostrava,Ostrava Leos Janacek Airport,OSR
41,Czech Republic,CZ,Pardubice,Pardubice Airport,PED
42,Czech Republic,CZ,Prague,Prague Airport,PRG
43,Denmark,DK,Aalborg,Aalborg Airport,AAL
44,Denmark,DK,Aarhus,Aarhus Airport,AAR
45,Denmark,DK,Billund,Billund Airport,BLL
46,Denmark,DK,Bornholm,Bornholm Airport,RNN
47,Denmark,DK,Copenhagen,Copenhagen Airport,CPH
48,Denmark,DK,Copenhagen,Roskilde Airport,RKE
49,Denmark,DK,Esbjerg,Esbjerg Airport,EBJ
50,Denmark,DK,Karup,Karup Airport,KRP
51,Denmark,DK,SÃ¸nderborg,Sonderborg Airport,SGD
52,Denmark,DK,Thisted,Thisted Airport,TED
53,Estonia,EE,Tallinn,Tallinn Airport,TLL
54,Faroe Islands,FO,Sorvagur,Vagar Airport,FAE
55,Finland,FI,EnontekiÃ¶,EnontekiÃ¶ Airport,ENF
56,Finland,FI,Halli,Halli Airport,KEV
57,Finland,FI,Helsinki,Helsinki-Vantaa Airport,HEL
58,Finland,FI,Ivalo,Ivalo Airport,IVL
59,Finland,FI,Joensuu,Joensuu Airport,JOE
60,Finland,FI,Kajaani,Kajaani Airport,KAJ
61,Finland,FI,Kauhava,Kauhava Airport,KAU
62,Finland,FI,Kemi-Tornio,Kemi-Tornio Airport,KEM
63,Finland,FI,KittilÃ¤,KittilÃ¤ Airport,KTT
64,Finland,FI,Kronoby,Kokkola-Pietarsaari Airport,KOK
65,Finland,FI,Kuopio,Kuopio Airport,KUO
66,Finland,FI,Kuusamo,Kuusamo Airport,KAO
67,Finland,FI,Lappeenranta,Lappeenranta Airport,LPP
68,Finland,FI,Maarianhamina,Maarianhamina Airport,MHQ
69,Finland,FI,Oulunsalo,Oulu Airport,OUL
70,Finland,FI,Pori,Pori Airport,POR
71,Finland,FI,Rovaniemi,Rovaniemi Airport,RVN
72,Finland,FI,Savonlinna,Savonlinna Airport,SVL
73,Finland,FI,Tampere,Tampere-Pirkkala Airport,TMP
74,Finland,FI,Tikkakoski,Tikkakoski JyvÃ¤skylÃ¤ Airport,JYV
75,Finland,FI,Turku,Turku Airport,TKU
76,Finland,FI,Utti,Utti Airport,UTI
77,Finland,FI,Vaasa,Vaasa Airport,VAA
78,Finland,FI,Varkaus,Varkaus Airport,VRK
79,France,FR,Agen,AÃ©roport d'Agen,AGF
80,France,FR,Aix-en-Provence,Aix-en-Provence Aerodrome,QXB
81,France,FR,Ajaccio,AÃ©roport d'Ajaccio Napoleon Bonaparte,AJA
82,France,FR,Albert,Aeroport Albert Picardie,BYF
83,France,FR,Albi / Le Sequestre,Albi - Le Sequestre Aerodrome,LBI
84,France,FR,Amiens / Glisy,Amiens - Glisy Aerodrome,QAM
85,France,FR,Angouleme,AÃ©roport d'AngoulÃªme-Cognac,ANG
86,France,FR,Annecy,AÃ©roport Annecy Mont Blanc,NCY
